#Name	Class	Lv	HP	Str	Mag	Skl	Spd	Lck	Def	Res	Con	Mov	HP	Str	Mag	Skl	Spd	Lck	Def	Res	Gender
Marisa	Assassin	20	34	11	2	20	22	16	6	6	6	6	75	30	10	55	50	50	15	25	-
Matthew	Assassin	20	31	13	0	16	24	11	7	3	7	6	75	30	0	45	60	50	25	20	-

Dart	Berserker	20	42	20	1	11	16	7	9	2	13	6	70	70	10	25	60	35	20	15	-
Ross	Berserker	20	36	16	5	12	12	19	11	5	13	6	70	75	15	55	50	40	25	20	-

Florina	Falconknight	20	28	9	8	14	20	16	4	10	5	8	60	35	20	65	80	50	15	35	-
Tana	Falconknight	20	30	10	6	16	27	17	7	11	6	8	65	40	20	35	45	60	15	25	-
Vanessa	Falconknight	20	26	8	8	17	21	13	7	13	6	8	50	30	20	60	55	50	20	30	-

Amelia	General	20	32	13	5	11	13	21	12	5	11	5	100	45	20	40	40	50	60	10	-
Gilliam	General	20	39	17	1	9	7	7	18	5	16	5	90	45	0	30	30	30	55	5	-
Wallace	General	20	35	16	2	9	7	12	19	6	15	5	70	45	10	35	20	30	50	30	-
Oswin	General	20	37	16	2	10	8	6	20	4	16	5	90	35	5	25	30	35	55	20	-

Garcia	Hero	20	40	18	2	13	12	9	11	3	14	6	80	65	10	40	35	40	25	15	-
Raven	Hero	20	37	16	5	17	19	7	8	3	9	6	85	55	10	45	45	35	25	15	-
Gerik	Hero	20	41	20	5	17	13	11	11	6	15	6	90	50	10	45	20	30	35	25	-

Eirika	Eirika	20	25	11	2	20	21	17	8	8	7	8	45	40	10	60	60	60	25	25	-
Eliwood	Eliwood	20	28	15	6	18	15	14	14	11	9	8	65	40	10	45	45	45	40	50	-
Ephraim	Ephraim	20	32	20	3	11	12	12	18	10	10	8	90	70	10	45	35	40	45	35	-
Hector	Hector	20	38	22	1	13	10	9	20	12	15	6	80	55	5	40	35	30	50	30	-
Lyn	Lyn	20	29	11	5	19	20	15	5	5	6	7	70	40	10	60	60	60	25	30	-
Roy	Roy	20	28	14	3	15	15	18	9	8	8	7	60	50	10	50	55	60	40	45	-
Marth	Marth	20	29	13	0	16	18	20	12	4	6	7	60	30	0	65	60	90	30	10	-
Chrom	Chrom	20	33	21	5	8	14	12	12	8	8	7	80	75	10	35	45	40	40	30	-

Kent	Paladin	20	36	16	8	18	18	8	12	8	11	8	85	40	15	50	40	20	25	25	-
Forde	Paladin	20	35	15	7	18	17	14	13	8	11	8	85	40	15	50	50	35	20	25	-
Franz	Paladin	20	33	16	5	14	16	12	10	5	11	8	80	50	10	60	60	40	25	20	-
Sain	Paladin	20	34	19	8	14	17	13	13	6	11	8	80	50	10	40	40	35	25	20	-
Kyle	Paladin	20	38	18	5	14	15	11	15	7	12	8	90	45	10	40	40	20	25	20	-

Lute	Sage	20	25	3	15	13	15	16	5	12	4	6	45	10	45	40	45	45	15	40	f
Erk	Sage	20	29	3	12	13	19	8	4	11	6	6	65	10	35	45	28	30	20	40	m
Lucius	Sage	20	27	3	16	14	15	5	1	16	7	6	55	10	50	40	35	20	10	60	m
Artur	Sage	20	28	3	12	15	15	6	4	15	7	6	55	10	35	60	45	25	15	55	m

Rebecca	Sniper	20	28	11	3	17	13	16	5	6	6	6	60	30	10	65	60	50	15	30	f
Neimi	Sniper	20	27	12	3	16	13	13	5	8	6	6	55	45	10	55	65	50	15	35	f
Wil	Sniper	20	33	15	7	15	9	13	10	5	7	6	75	45	10	50	45	40	35	30	m

Canas	Sorcerer	20	29	4	15	12	15	10	10	13	8	6	70	20	45	40	35	25	30	45	-
Ewan	Sorcerer	20	30	4	15	12	14	20	4	14	8	6	50	15	55	50	50	50	15	40	-
Knoll	Sorcerer	20	29	2	18	13	11	2	7	14	8	7	70	10	50	40	35	20	15	45	-

Mia	Swordmaster	20	36	8	5	22	25	13	9	7	7	6	50	35	5	35	35	30	25	10	f
Guy	Swordmaster	20	33	9	3	19	23	12	7	4	6	6	75	25	10	55	70	45	15	25	m
Joshua	Swordmaster	20	35	11	4	21	21	11	7	4	9	6	80	30	10	55	50	40	25	20	m
Edward	Swordmaster	20	33	8	2	18	21	12	11	5	8	6	70	40	15	60	60	25	45	40	m

L'Arachel	Valkyrie	20	25	3	14	13	17	23	7	16	6	8	45	5	35	35	25	55	5	50	-
Natasha	Valkyrie	20	27	3	12	8	16	19	4	16	6	8	50	10	45	25	45	60	15	55	-
Priscilla	Valkyrie	20	23	4	12	13	11	18	5	14	5	8	45	10	55	55	55	65	15	50	-

Bartre	Warrior	20	44	21	2	11	10	9	12	6	15	6	85	55	0	45	40	30	40	25	-
